T V P
1200 40.0 148.82114800049987
1200 42.0 116.29216476380907
1200 44.0 89.71747682004498
1200 46.0 68.08029506548363
1200 48.0 50.22000297900525
1200 50.0 35.629888254686335
1200 52.0 23.482525058735316
1200 54.0 13.674471022744314
1800 40.0 153.10667969507625
1800 42.0 120.48075445638588
1800 44.0 94.21632644388902
1800 46.0 72.45442813246687
1800 48.0 54.489031403149205
1800 50.0 39.68848153986503
1800 52.0 27.831873591602108
1800 54.0 17.903228673331665
2400 40.0 157.10390035741062
2400 42.0 124.78889455386154
2400 44.0 98.48559317170708
2400 46.0 76.78536400099975
2400 48.0 58.90052007998001
2400 50.0 43.96852704248938
2400 52.0 32.300960992002
2400 54.0 22.723825801049735
300 40.0 142.4743011697076
300 42.0 109.62033313421644
300 44.0 83.12746101024744
300 46.0 61.412721586603354
300 48.0 43.473421157460635
300 50.0 28.834442938515366
300 52.0 16.970437638340414
300 54.0 7.4121077947513125
3000 40.0 161.54556281679578
3000 42.0 129.1791657260685
3000 44.0 103.01364356785805
3000 46.0 81.21089232841788
3000 48.0 63.88178886378406
3000 50.0 48.71679041989502
3000 52.0 37.216313769307675
3000 54.0 28.346574247438134
600 40.0 144.71273836540863
600 42.0 111.9192153536616
600 44.0 85.42934517845539
600 46.0 63.5786843051737
600 48.0 45.77641123269183
600 50.0 31.108053759810055
600 52.0 19.162841957510626
600 54.0 9.424632399825045
