# Time-averaged data for fix rdf_all
# TimeStep Number-of-rows
# Row c_rdf_all[1] c_rdf_all[2] c_rdf_all[3]
1000000 500
1 0.005 0 0
2 0.015 0 0
3 0.025 0 0
4 0.035 0 0
5 0.045 0 0
6 0.055 0 0
7 0.065 0 0
8 0.075 0 0
9 0.085 0 0
10 0.095 0 0
11 0.105 0 0
12 0.115 0 0
13 0.125 0 0
14 0.135 0 0
15 0.145 0 0
16 0.155 0 0
17 0.165 0 0
18 0.175 0 0
19 0.185 0 0
20 0.195 0 0
21 0.205 0 0
22 0.215 0 0
23 0.225 0 0
24 0.235 0 0
25 0.245 0 0
26 0.255 0 0
27 0.265 0 0
28 0.275 0 0
29 0.285 0 0
30 0.295 0 0
31 0.305 0 0
32 0.315 0 0
33 0.325 0 0
34 0.335 0 0
35 0.345 0 0
36 0.355 0 0
37 0.365 0 0
38 0.375 0 0
39 0.385 0 0
40 0.395 0 0
41 0.405 0 0
42 0.415 0 0
43 0.425 0 0
44 0.435 0 0
45 0.445 0 0
46 0.455 0 0
47 0.465 0 0
48 0.475 0 0
49 0.485 0 0
50 0.495 0 0
51 0.505 0 0
52 0.515 0 0
53 0.525 0 0
54 0.535 0 0
55 0.545 0 0
56 0.555 0 0
57 0.565 0 0
58 0.575 0 0
59 0.585 0 0
60 0.595 0 0
61 0.605 0 0
62 0.615 0 0
63 0.625 0 0
64 0.635 0 0
65 0.645 0 0
66 0.655 0 0
67 0.665 0 0
68 0.675 0 0
69 0.685 0 0
70 0.695 0 0
71 0.705 0 0
72 0.715 0 0
73 0.725 0 0
74 0.735 0 0
75 0.745 0 0
76 0.755 0 0
77 0.765 0 0
78 0.775 0 0
79 0.785 0 0
80 0.795 0 0
81 0.805 0 0
82 0.815 0 0
83 0.825 0 0
84 0.835 0 0
85 0.845 0 0
86 0.855 0 0
87 0.865 0 0
88 0.875 0 0
89 0.885 0 0
90 0.895 6.16306e-07 9.76563e-09
91 0.905 2.65215e-06 5.27344e-08
92 0.915 1.93408e-05 3.73047e-07
93 0.925 7.8469e-05 1.70117e-06
94 0.935 0.00038524 8.36328e-06
95 0.945 0.0014853 3.46016e-05
96 0.955 0.0049454 0.000123822
97 0.965 0.0141335 0.000384174
98 0.975 0.0346879 0.00103647
99 0.985 0.0746154 0.00246852
100 0.995 0.142981 0.00526867
101 1.005 0.245466 0.010173
102 1.015 0.382699 0.0179721
103 1.025 0.547521 0.0293512
104 1.035 0.727986 0.0447774
105 1.045 0.907104 0.0643725
106 1.055 1.06712 0.0878675
107 1.065 1.19858 0.114759
108 1.075 1.29496 0.144362
109 1.085 1.35665 0.175954
110 1.095 1.38603 0.208829
111 1.105 1.38838 0.242363
112 1.115 1.37051 0.276068
113 1.125 1.34048 0.309628
114 1.135 1.30244 0.342817
115 1.145 1.26023 0.3755
116 1.155 1.21721 0.407621
117 1.165 1.17606 0.439195
118 1.175 1.13534 0.470202
119 1.185 1.09676 0.500667
120 1.195 1.05987 0.530607
121 1.205 1.02454 0.560035
122 1.215 0.991901 0.589
123 1.225 0.959851 0.617493
124 1.235 0.928839 0.645517
125 1.245 0.89732 0.67303
126 1.255 0.866154 0.700016
127 1.265 0.833782 0.726409
128 1.275 0.799916 0.752132
129 1.285 0.764241 0.777095
130 1.295 0.725838 0.801173
131 1.305 0.684484 0.824232
132 1.315 0.639489 0.846107
133 1.325 0.590748 0.866623
134 1.335 0.540156 0.885666
135 1.345 0.488622 0.903151
136 1.355 0.434969 0.918949
137 1.365 0.382847 0.933059
138 1.375 0.331566 0.94546
139 1.385 0.28302 0.956199
140 1.395 0.237233 0.965331
141 1.405 0.195722 0.972974
142 1.415 0.158673 0.979258
143 1.425 0.126341 0.984333
144 1.435 0.0987173 0.988354
145 1.445 0.0756322 0.991478
146 1.455 0.057027 0.993866
147 1.465 0.0419947 0.995649
148 1.475 0.0304566 0.99696
149 1.485 0.021764 0.99791
150 1.495 0.0152481 0.998584
151 1.505 0.0105625 0.999057
152 1.515 0.00718284 0.999383
